year,meeting_number,speaker,party,sentence
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,"Jeg mener ikke, at toget er fortid, jeg mener, toget er nutid, men jeg ser den artikel, som der henvises til, som to transportordføreres bud på, hvad fremtiden er."
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,Hvad vil der ske i fremtiden?
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,"Og der kan jeg godt forstå at man gør sig tanker om individuelle transportmidler som fremtidens transportform, måske nogle, der er selvkørende, og som kører meget tættere end de nuværende biler, og som altså kører selvkørende, sådan at man kan udføre et arbejde, mens man transporteres, ligesom man kan i toget i dag."
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,"Så jeg er ikke enig i, at toget ikke hører til i nutiden."
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,"Det er fremtiden, som jeg tænker på her, og som jeg også ser at de to transportordførere har udtalt sig om."
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,"Og fremtiden er noget mere usikker og vil formentlig byde på mange nye ting, som også, ligesom bilen tidligere har gjort, vil kunne sætte togservicen under pres."
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),LA,Den fg. formand
2000,90,Søren Kolstrup (EL),EL,"Det går i den rigtige retning, sagde Venstres ordfører, hr. Peter HansenNord."
2000,90,Søren Kolstrup (EL),EL,Det kan jo ikke undre en.
2000,90,Søren Kolstrup (EL),EL,"Det kan jo ikke undre, at hr. Peter Hansen-Nord er glad."
2000,90,Søren Kolstrup (EL),EL,"Det kan ikke undre, at hr. Kim Behnke er glad."
2000,90,Søren Kolstrup (EL),EL,"Det kan ikke undre, at De Konservative er glade, men det kan måske undre en lille smule mere, at Socialdemokratiet er det, og at Socialistisk Folkeparti hopper på den her liberalistiske limpind."
2000,90,Søren Kolstrup (EL),EL,"Det karakteristiske for hele præmissen for forslaget er, at Kommissionen siger, vi skal gøre sådan og sådan, og det opfattes som en lov, som noget, man automatisk skal rette sig efter."
2000,90,Søren Kolstrup (EL),EL,"Dermed melder Danmark sig klart blandt de lande, som bøjer nakken for Kommissionen; Man vil ikke alliere sig med dem, som vender sig imod Kommissionens krav om stigende åbning, stigende liberalisering."
2000,90,Søren Kolstrup (EL),EL,"Jeg skal præcisere, at Enhedslisten er tilhængere af offentligt eje."
