year,meeting_number,speaker,speech,party
2016,45,Transport Bygnings Og Boligministeren (Ole Birk Olesen),"Jeg mener ikke, at toget er fortid, jeg mener, toget er nutid, men jeg ser den artikel, som der henvises til, som to transportordføreres bud på, hvad fremtiden er. Hvad vil der ske i fremtiden? Og der kan jeg godt forstå at man gør sig tanker om individuelle transportmidler som fremtidens transportform, måske nogle, der er selvkørende, og som kører meget tættere end de nuværende biler, og som altså kører selvkørende, sådan at man kan udføre et arbejde, mens man transporteres, ligesom man kan i toget i dag. Så jeg er ikke enig i, at toget ikke hører til i nutiden. Det er fremtiden, som jeg tænker på her, og som jeg også ser at de to transportordførere har udtalt sig om. Og fremtiden er noget mere usikker og vil formentlig byde på mange nye ting, som også, ligesom bilen tidligere har gjort, vil kunne sætte togservicen under pres. Den fg. formand",LA
2000,90,Søren Kolstrup (EL),"Det går i den rigtige retning, sagde Venstres ordfører, hr. Peter HansenNord. Det kan jo ikke undre en. Det kan jo ikke undre, at hr. Peter Hansen-Nord er glad. Det kan ikke undre, at hr. Kim Behnke er glad. Det kan ikke undre, at De Konservative er glade, men det kan måske undre en lille smule mere, at Socialdemokratiet er det, og at Socialistisk Folkeparti hopper på den her liberalistiske limpind. Det karakteristiske for hele præmissen for forslaget er, at Kommissionen siger, vi skal gøre sådan og sådan, og det opfattes som en lov, som noget, man automatisk skal rette sig efter. Dermed melder Danmark sig klart blandt de lande, som bøjer nakken for Kommissionen; Man vil ikke alliere sig med dem, som vender sig imod Kommissionens krav om stigende åbning, stigende liberalisering. Jeg skal præcisere, at Enhedslisten er tilhængere af offentligt eje. Enhedslisten kan også være tilhængere af en opsplitning af DONGselska- bet. Ja, vi kan oven i købet finde det fornuftigt, 7778 ' 홢 (L 232) at vi får flere DONGselskaber, men i og med at vi er modstandere af forceringen af liberalis.eringen og vi overhovedet er modstandere af målsætningen om at arbejde hen mod en åbning på gasmarkedet med, hvad det indebærer af skærpet konkurrence og få store selskaber, der sidder på et marked og dirigerer gaspolitikken, så må vi klart og entydigt være modstandere af det her forslag. Når det er sagt, skal jeg præcisere, at vi er tilhængere af, at DONG E og P, DONG Efterforskning og Produktion, får en stigende betydning i samfundet. I øjeblikket har de 20 pet. af andelene i Nordsøen. Vi vil arbejde energisk for, at de får en stigende andel. Vi ser også gerne, der bliver oprettet et nyt DONGselskab. Vi kunne kalde det DONG V og E, DONG Vedvarende Energi, der tager sig af helt nye samfundsområder. Så skal jeg præcisere, at vi afviser forslaget, og vi vil bekæmpe den samfundstendens, som forslaget er et udtryk for. Og til sidst kunne man jo stille det spørgsmål: Hvad er det egentlig for samfundskræfter, der gør, at man får sådan et forslag som det her på banen? Hvad er det, der gør, at vi lever i et samfund, hvor socialdemokraten hr. Niels Bloch Hansen står frem her og åbent siger: Jeg er en superliberalist. Det er jo ikke noget, den social- / demokratiske ordfører har fundet på i sin egen partiafdeling. Der er nogle sociale og økonomiske kræfter, som har villet det, men hvem er det, der driver gæk med den socialdemokratiske ordfører? Hvad er det for kræfter? Det kunne i sig selv være spændende at få det afdækket. Jeg ved ikke, om den socialdemokratiske ordfører selv er klar over det og har. et bidrag til en sådan analyse. ; - (Kort bemærkning).",EL
2021,120,Lars Boje Mathiesen (NB),"Nej, men argumentationen for ikke at stemme for var, at vi ikke kan stille nye krav og vi ikke kan lave en sådan garanti, hvis vi ikke har sikret, at der er personale til at løse opgaven. Det har bl.a. været argumentationen for, hvorfor man ikke kunne støtte det, og så siger jeg bare, at det må være det princip, vi også kører med fremadrettet, når man kommer med andre velfærdstiltag. Og så forstår jeg godt, at Enhedslisten har et ønske om, at der så skal følge penge med, og at der skal være flere offentligt ansatte. Men indtil det sker, skal man jo heller ikke komme med nye forslag, medmindre de er finansieret, både med kroner og øre, men også i forhold til personale.",NB
2023,77,Betina Kastbjerg (DD),"Tak for det, formand, og tak for en god debat. Jeg tror, det var Socialdemokratiets ordfører, der sagde, at det ikke behøvede at blive en lang debat, og det blev det heller ikke. Jeg vil gerne takke for opbakningen eller i hvert fald de positive tilkendegivelser, der kom fra Liberal Alliance, Konservative og Dansk Folkeparti. Der er lidt med Radikale i forhold til ændringsforslaget. Jeg håber på, vi kan lande et ændringsforslag, så også Radikale kan bakke op. Jeg vil også sige en stor tak til ministeren og regeringspartierne for de positive tilkendegivelser. Det her er mit første beslutningsforslag i salen, og jeg tænker bare, at hvis jeg har samme til succesrate med de næste beslutningsforslag, skal jeg bare have fremsat nogle flere. Tusind tak for debatten, og jeg glæder mig til, at vi får lavet et ændringsforslag, så vi kan få godkendt det her.",DD
2018,4,Jeppe Jakobsen (DF),"Jeg kunne forstå, at ordføreren er meget optaget af det her med, at man skal møde hinanden på tværs af, hvad der vel kunne kaldes sociale klasser eller i hvert fald forskellige baggrunde. Jeg bor i Holbæk Kommune. I Holbæk by har vi et af de her belastede områder, der hedder Agervang. Vi har også et område, der hedder Ladegårdsparken, og vi har også et, der hedder Bjergmarken. Hvis man nu har en daginstitution, som kun har 30 pct. børn, der kommer fra Agervang, som er på listen, og man så har 40 pct. fra Ladegårdsparken og 30 pct. fra Bjergmarken, mener ordføreren så, at det er en rigtig god og forskelligartet børnehave, hvor det gode børneliv kan udfolde sig, og hvor man lærer en masse forskelligt om alle mulige, som ikke ligner en selv?",DF
2006,82,Jens Peter Vernersen (S),"Nu var ministeren jo ganske kort inde på, at der i forbindelse med enkelte kræftformer var lavet en forlænget ventetid. Det tror jeg også er en belastning for nogle af disse mennesker. Har man dokumentation for, at sygdommen ikke forvær- (Spm) 6013 res, når man nu fra sundhedsministerens side går ind og bidrager med en forlængelse af den tid, der går, inden patienten bliver behandlet? Og betyder det så også, at de ikke kunne vælge at komme på udenlandsk hospital ganske tidligt? For det måtte jo da ganske givet hænge sammen med det her. Jeg synes, det er vigtigt at få oplyst, hvad det er for nogle nye ventetider, der ligger for disse grupper, for det kan man jo ikke se ud af de oplysninger, som er på ministeriets hjemmeside.",S
2013,41,Steen Gade (SF),"Men vi undgår selvfølgelig ikke også at kigge på den del af transportsiden, men ligesom den radikale ordfører vil jeg da glæde mig over, at vi er blevet enige med Enhedslisten om en togfond. Det er jo, når det kommer til stykket, noget, der virkelig rykker. Det rykker først efter 2020, det ved jeg godt, men det rykker jo på mange måder, fordi det også er afsætningen af vores vedvarende energi. Men det er jo rigtigt, at regeringen har valgt, at en række ting på transportområdet lader man ligge for tiden. Det er ikke alt sammen noget, der har groet i SF's have, men det er sådan, det er. Til gengæld vil jeg sige, at ud fra, hvad jeg føler langt nede i min egen mave, ville det jo ikke være det, jeg ville være startet med, når jeg ser sagligt på det. Jeg ville faktisk være startet med de områder i landbruget, hvor vi ved, at der er nogle gevinster. Der er ikke mange, der helt forstår det, men man skal jo tage det, der er simplest og mest økonomisk og mest fornuftigt fra starten. Men selvfølgelig undgår man ikke transportområdet. Men et af de steder, vi kunne begynde at diskutere, var jo f.eks., hvordan vi får gas ind i den kollektive trafik i storbyerne. Der er jo mange muligheder, og jeg ser også frem til ministerens roadmap på det her punkt. Det andet er... Anden næstformand",SF
2016,98,Kirsten Normann Andersen (SF),"Tak for det. Ja, SF er stadig med på at afskaffe produktivitetskravet på sygehusene. Det er vi, fordi tiden er rendt fra de økonomiske incitamenter, som lå til grund for at indføre det i tidernes morgen. Metoden har ganske enkelt udtjent sin værnepligt i en tid med meget store omstruktureringer i sundhedssektoren. Med specialeplaner har vi sammen fået styr på, hvad der forudsættes af kompetencer for at løse en given opgave, og specialer er fordelt på enkelte sygehuse, som herefter kan koncentrere sig om at blive endnu bedre til et fagområde. Netop specialeplanen har i regionerne også skabt gode muligheder for at fordele opgaverne mellem de lokale sygehuse, og uagtet at det til tider har været lidt besværligt at være patient, er det trods alt godt at vide, at vi ikke bare henvises til det første og det bedste sygehus, men at vi henvises til et sygehus, som har forstand på det, som vi skal behandles for. Endelig er ventelisterne jo altså også nedbragt til et tåleligt niveau. Når alle rationaliseringsgevinster er hentet i form af bedre arbejdstilrettelæggelse og ny teknologi osv., så er der altså kun tilbage at lade personalet løbe hurtigere og hurtigere, og det er og bliver uholdbart, fordi det ikke kan undgå at gå ud over patienterne. Jeg har noteret mig, at regionerne selv forsøger at kompensere ved at flytte aftalte ressourcer fra et område til et andet og mere trængt område. Jeg har set eksempler på, hvordan regionerne på trods af utidssvarende økonomiske incitamenter alligevel er gået skridtet videre og har sat gang i en mere hensigtsmæssig måde at løse opgaverne på. Det gælder eksempelvis de nye diagnosticeringscentre, som flere regioner har oprettet. Produktivitetskravet har nemlig som bagside, at det giver mening at indkalde patienterne over flere dage, selv om det både er til gene for patienten og faktisk også tager længere tid for personalet. Så når flere sygehuse i stedet har tilrettelagt arbejdet, så patienten kan få foretaget flere undersøgelser på samme dag, så koster det sygehusene på grund af produktivitetskravet. Jeg synes, det er et rigtig godt eksempel på, at regionerne kan selv, og at vi trækker på samme hammel, når det gælder at højne kvaliteten i sygehusbehandlingen på en økonomisk forsvarlig måde. Derfor mener jeg heller ikke, der er så meget at betænke sig på. Tværtimod har vi en god anledning til at udvise den tillid, som vi så ofte taler så højtideligt om. Lad os nu samle os om at få produktivitetskravet afskaffet. Tiden er løbet fra det. De ansatte kan ikke løbe hurtigere, og det risikerer at gå ud over patientsikkerheden og ordentlig behandling. Derfor synes jeg klart, at vi skal bruge det flertal, som kunne skabes, for at lave det hele om, hellere i dag end i morgen. SF bakker op om forslaget, men vi ser også frem til behandlingen i udvalget efterfølgende.",SF
2005,79,Jens Peter Vernersen (S),"Spørgsmålet går på, om ministeren mener, at hans garanti om, at fødevarekontrol ikke er blevet svækket af de mange nedskæringer på området, har vist sig at holde stik. Når jeg spørger, er det, fordi vi jo har en række eksempler. Jeg har taget kontrolrapporten med fra Skare Meat, som har været meget omtalt. Der er man ude at lave kontrol i to omgange her i februar, og i begge tilfælde er der absolut intet at bemærke, da man er derude. Det er den 15. februar og den 20. februar. Ganske kort tid efter vælter skeletterne åbenbart også derude ud af skabene, for at bruge ministerens eget udtryk. Det er jo fantastisk, at man kan være derude og åbenbart ikke have så mange ressourcer, at man kan få lavet en ordentlig kontrol. Derfor stiller jeg det spørgsmål, om det i forbindelse med de mange nedskæringer på området har vist sig at holde stik, at det ikke har nogen konsekvens for fødevarekontrollen. Der synes jeg såmænd bare, at ministeren skulle indrømme, at det altså har konsekvenser, at man har skåret ned.",S
2013,107,Lars Barfoed (KF),"Altså, jeg tror, det er forbigået hr. Nikolaj Villumsens opmærksomhed, at der er krig i Irak allerede. Vi starter ikke en krig. Der er sådan set en krig. Der er mennesker, der bliver fordrevet; der bliver begået grusomme handlinger imod dem; der er et kalifat, der er ved at etablere sig, som kan blive en trussel imod Danmark. Så siger hr.",KF
